$0 results found.	Nenalezen žádný výsledek.
$10 Mins	10 min
$15 Mins	15 min
$30 Mins	30 min
$45 Mins	45 min
$5 Mins	5 min
$60 Mins	60 min
$[NEW SAVE]	[NOVÁ POZICE]
$ABORT	ZRUŠIT
$acc	Přesnost
$ACCEPT	POTVRDIT
$ACCEPTTRADE	POTVRDIT OBCHOD
$Achievement Friendly	Funguje s achievementy
$Activate	Aktivovat
$Actor Fade	Mizení postav
$ADD	PŘIDAT
$ADD-ONS	ROZŠÍŘENÍ
$ADJUST	PŘIZPŮSOBIT
$AGILITY	HBITOST
$All	Vše
$Alphabetical (Ascending)	Abecedně (vzestupně)
$Alphabetical (Descending)	Abecedně (sestupně)
$AP	AB
$Apparel	Výstroj
$APPLY	POUŽÍT
$Assign	PŘIŘADIT
$ASSIGN FAVORITE	PŘIDAT K OBLÍBENÝM
$ASSIGNED TO	PŘIŘAZENO:
$Attach	PŘIPOJIT
$ATTACH MOD	PŘIPOJIT MODIFIKACI
$ATTACH WIRE	PŘIPOJIT KABEL
$AttemptsRemaining:	Zbývající pokusy:
$Audio	Zvuk
$AUDIO	ZVUK
$Author:	Autor:
$Auto Attempt	Automatický pokus
$AUTO BUILD	AUTO
$AUTO COOK	AUTO VAŘENÍ
$AutoMove	Automatická chůze
$AVAILABLE	DOSTUPNÉ
$AVAILABLE MODS:	DOSTUPNÉ MODIFIKACE:
$AVAILABLE RECIPES:	DOSTUPNÉ RECEPTY:
$Back	Zpět
$BACK	ZPĚT
$Banner	Banner
$BEAM_DevAccountCreate	Byl založen dočasný účet! Zkontroluj svůj e-mail a rozkliknutím potvrzovacího odkazu dokonči proces pro založení účtu.
$BEARD	VOUSY
$BEDS	POSTELE
$BETHESDA.NET	MODIFIKACE (Původní)
$Best Results	Nejlepší výsledky
$BNET_FirstLine_DownloadsFailed	Následující nebylo možné stáhnout:
$BODY	TĚLO
$BODY PART	ČÁST TĚLA
$Bookmark	Označit
$Bookmarked	OZNAČENO
$Bookmarks	Označené
$Brightness	Jas
$BUILD	VYROBIT
$Build	Vyrobit
$Build Mod?	Vytvořit modifikaci?
$BUILD WITH	POSTAVIT S POUŽITÍM
$BuildBaseBot	VYROBIT ZÁKLADNÍHO BOTA
$BuildConfirm1	Postavit s použitím:
$BuildConfirm2	Odstranit část?
$BuildConfirm3	Připojit část?
$BuildConfirm4	Odpojit část?
$Bundle	Balíček
$BundleLegalWarning	Tento nákup zahrnuje balíček modifikací.   Upozorňujeme, že již můžete vlastnit jednu nebo více modifikací z balíčku (včetně jiných platforem).  Zkontrolujte popis položky, abyste si ověřili obsah každé modifikace.
$BundlesWithItem	Dostupné v balíčcích
$BUY	KOUPIT
$BUY NOW	KOUPIT
$BUYCREDITS1	Koupit kredity - 500
$BUYCREDITS2	Koupit kredity - 1000
$BUYCREDITS3	Koupit kredity - 2700
$BUYCREDITS4	Koupit kredity - 5500
$ByWhom: 	Od: 
$PURCHASECREDITS	KOUPIT KREDITY
$Purchase Credits	Koupit kredity
$CAMERA	KAMERA
$CANCEL	ZRUŠIT
$Cancel	Zrušit
$CancelTradeInProgress	Zrušit probíhající obchod?
$CantInstallMod_Dependency	Tuto modifikaci nelze nainstalovat, protože závisí na souborech, které nejsou dostupné.
$CantInstallMod_Invalid	Tuto modifikaci nelze aktivovat a měla by být smazána.
$CAP	ZÁTKA
$CAPS	ZÁTKY
$Caravan	Karavana
$AttachPipboyToHMD	Attach Pipboy To HMD
$CATEGORIES	KATEGORIE
$Category List	Seznam kategorií
$Category List Large	Seznam kategorií
$Change Filter	ZMĚNIT FILTR
$Change sex	Změnit pohlaví
$ChangedCreations_ConfirmReset	Byl stažen nový obsah. Pro pokračování je potřeba přenačíst soubory hry.  Znovu načíst?
$ChangedDLC_ConfirmReset	Dokončeno stahování nového stahovatelného obsahu. Chceš ho nyní povolit?
$ChangedDLC_WarnReset	Je dostupný nový obsah. Pro jeho povolení navštiv nabídku Rozšíření.
$ChangedMods_ConfirmReset	Bylo změněno pořadí povolených modifikací. Datové soubory hry budou nyní přenačteny.
$CHANGESEX	ZMĚNIT POHLAVÍ
$CHANGEUSER	ZMĚNIT PROFIL
$Characters	Postavy
$charge	Nabití
$CHARISMA	CHARISMA
$Choose	ZVOLIT
$Choose (#)	ZVOLIT (#)
$CHOOSE COMPONENTS	VYBRAT KOMPONENTY
$CLOSE	ZAVŘÍT
$CloseModManager_Confirm	Probíhá stahování obsahu. Opravdu chceš odejít?
$COLOR	BARVA
$Combat	Souboj
$COMING SOON	PŘIJDE BRZY
$Companion Enabled	Pip-Boy Aplikace
$Compass_East	V
$Compass_North	S
$Compass_South	J
$Compass_West	Z
$COMPONENT VIEW	ZOBRAZENÍ KOMPONENT
$COMPONENTS	KOMPONENTY
$Confirm	Potvrdit
$CONFIRM	POTVRDIT
$Confirm change preset	Zvolit novou předvolbu a zahodit současné změny?
$Confirm character	Potvrdit postavu?
$Confirm character changes	Potvrdit změny postavy?
$ConfirmContinue	Pokračovat z poslední uložené pozice?
$ConfirmFastTravel	Chceš rychle cestovat do vybrané lokace?
$ConfirmLoad	Načíst tuto hru?
$ConfirmNew	Začít novou hru?
$ConfirmNew_HC	Začít novou hru s obtížností Přežití?
$ConfirmNew_HC_Mods	Začít novou hru s obtížností Přežití? Jsou načteny herní modifikace. Pozor: Achievementy jsou vypnuty.
$ConfirmNew_HC_Mods_Orbis	Začít novou hru s obtížností Přežití? Jsou načteny herní modifikace. Pozor: Trofeje jsou vypnuty.
$ConfirmNew_Mods	Začít novou hru? Jsou načteny herní modifikace. Pozor: Achievementy jsou vypnuty.
$ConfirmNew_Mods_Orbis	Začít novou hru? Jsou načteny herní modifikace. Pozor: Trofeje jsou vypnuty.
$ConfirmPerkSelect	Potvrdit výběr?
$ConfirmTrade	Potvrdit obchod?
$ComfortDithering	Full Screen Dithering
$ComfortSneak	Comfort Sneak
$ComfortVignetteSize	Comfort Vignette Visibility
$ComfortVignetteEdgeSoftness	Comfort Vignette Edge Sharpness
$CONNECT INPUT	PŘIPOJIT VSTUP
$CONNECT OUTPUT	PŘIPOJIT VÝSTUP
$CONTAINER	ÚLOŽIŠTĚ
$CONTINUE	POKRAČOVAT
$Controller	Ovladač
$ControlMode	Control Mode
$CONTROLS	OVLÁDÁNÍ
$Controls	Ovládání
$COOK	VAŘIT
$CookConfirm1	Připravit za použití:
$CoppaText	Souhlasím s podmínkami užití, zásadami ochrany osobních údajů, pravidly chování a jsem starší 13 let.
$Craft	Vyrobit:
$CRAFT	PRACOVAT
$Crafting	Výroba
$CRATERFACE	HLUBOKÉ JIZVY
$CreateAcct_BNET_ACCOUNT_INVALID_EMAIL_ADDRESS	Zadaná e-mailová adresa je nevalidní.
$CreateAcct_BNET_BEAM_EMAIL_ADDRESS_ALREADY_TAKEN	Zadaná e-mailová adresa byla pro založení účtu již použita.
$CreateAcct_BNET_BEAM_INVALID_EMAIL_ADDRESS	Zadaná e-mailová adresa není validní.
$CreateAcct_BNET_BEAM_INVALID_USERNAME	Zadané uživatelské jméno není validní.
$CreateAcct_BNET_BEAM_OBJECT_ALREADY_EXISTS	Spárovaný účet již existuje. Pro opětovné přihlášení je nutné znovu vejít z hlavní nabídky.
$CreateAcct_BNET_BEAM_TOO_MANY_REQUESTS	Příliš mnoho požadavků.
$CreateAcct_BNET_BEAM_USERNAME_ALREADY_TAKEN	Zadané uživatelské jméno bylo pro založení účtu již použito.
$CreateAcct_BNET_CANNOT_CONNECT	Nedaří se připojit k serverům Bethesda.net.
$CreateAcct_BNET_DNS_ERROR	Chyba serveru DNS.
$CreateAcct_BNET_NOT_FOUND	Nepodařilo se připojit na servery Bethesda.net.
$CreateAcct_BNET_PS4_HTTP_INVALID_VALUE	Účet se nepodařilo vytvořit.
$CreateAcct_BNET_TIMEOUT	Vypršel časový limit pro připojení.
$CreateAcct_BNET_UGC_INVALID_TOKEN	Relace ukončena.
