$10 Mins	[#1]10 minut
$15 Mins	[#2]15 minut
$30 Mins	[#3]30 minut
$45 Mins	[#4]45 minut
$5 Mins	[#5]5 minut
$60 Mins	[#6]60 minut
$[NEW SAVE]	[#7][NOVÁ POZICE]
$ABORT	[#8]ZRUŠIT
$acc	[#9]Přesnost
$ACCEPT	[#10]POTVRDIT
$ACCEPTTRADE	[#11]POTVRDIT OBCHOD
$Activate	[#12]Aktivovat
$Actor Fade	[#13]Mizení postav
$ADD	[#14]PŘIDAT
$ADD-ONS	[#15]ROZŠÍŘENÍ
$ADJUST	[#16]PŘIZPŮSOBIT
$AGILITY	[#17]HBITOST
$AP	[#18]AB
$APPLY	[#19]POUŽÍT
$Assign	[#20]PŘIŘADIT
$ASSIGN FAVORITE	[#21]PŘIDAT K OBLÍBENÝM
$Attach	[#22]PŘIPOJIT
$ATTACH MOD	[#23]PŘIPOJIT MODIFIKACI
$ATTACH WIRE	[#24]PŘIPOJIT KABEL
$AttemptsRemaining:	[#25]Zbývající pokusy:
$Audio	[#26]Zvuk
$AUDIO	[#27]ZVUK
$Auto Attempt	[#28]Automatický pokus
$AUTO BUILD	[#29]AUTO
$AUTO COOK	[#30]AUTO VAŘENÍ
$AutoMove	[#31]Automatická chůze
$AVAILABLE MODS:	[#32]DOSTUPNÉ MODIFIKACE:
$AVAILABLE RECIPES:	[#33]DOSTUPNÉ RECEPTY:
$Back	[#34]Zpět
$BACK	[#35]ZPĚT
$BEARD	[#36]VOUSY
$BEDS	[#37]POSTELE
$BETHESDA.NET	[#38]BETHESDA.NET
$BODY	[#39]TĚLO
$BODY PART	[#40]ČÁST TĚLA
$Brightness	[#41]Jas
$BUILD	[#42]VYROBIT
$Build	[#43]Vyrobit
$Build Mod?	[#44]Vytvořit modifikaci?
$BUILD WITH	[#45]POSTAV S POUŽITÍM
$BuildConfirm1	[#46]Postav s použitím:
$BuildConfirm2	[#47]Odstranit část?
$BuildConfirm3	[#48]Připojit část?
$BuildConfirm4	[#49]Odpojit část?
$BUY	[#50]KOUPIT
$CANCEL	[#51]ZRUŠIT
$Cancel	[#52]Zrušit
$CancelTradeInProgress	[#53]Zrušit probíhající obchod?
$CAP	[#54]ZÁTKA
$CAPS	[#55]ZÁTKY
$Caravan	[#56]Karavana
$CATEGORIES	[#57]KATEGORIE
$Change sex	[#58]Změnit pohlaví
$CHANGESEX	[#59]ZMĚNIT POHLAVÍ
$CHANGEUSER	[#60]ZMĚNIT PROFIL
$charge	[#61]Nabít
$CHARISMA	[#62]CHARISMA
$Choose	[#63]ZVOLIT
$Choose (#)	[#64]ZVOLIT (#)
$CHOOSE COMPONENTS	[#65]VYBRAT KOMPONENTY
$CLOSE	[#66]ZAVŘÍT
$COLOR	[#67]BARVA
$Combat	[#68]Souboj
$Companion Enabled	[#69]Pip-Boy Aplikace
$Compass_East	[#70]V
$Compass_North	[#71]S
$Compass_South	[#72]J
$Compass_West	[#73]Z
$COMPONENT VIEW	[#74]ZOBRAZENÍ KOMPONENT
$COMPONENTS	[#75]KOMPONENTY
$Confirm	[#76]Potvrdit
$CONFIRM	[#77]POTVRDIT
$Confirm change preset	[#78]Zvolit novou předvolbu a zahodit současné změny?
$Confirm character	[#79]Potvrdit postavu?
$Confirm character changes	[#80]Potvrdit změny postavy?
$ConfirmContinue	[#81]Pokračovat z poslední uložené pozice?
$ConfirmFastTravel	[#82]Chceš rychle cestovat do vybrané lokace?
$ConfirmLoad	[#83]Načíst tuto hru?
$ConfirmNew	[#84]Začít novou hru?
$ConfirmPerkSelect	[#85]Potvrdit výběr?
$ConfirmTrade	[#86]Potvrdit obchod?
$CONTAINER	[#87]ÚLOŽIŠTĚ
$CONTINUE	[#88]POKRAČOVAT
$Controller	[#89]Ovladač
$CONTROLS	[#90]OVLÁDÁNÍ
$Controls	[#91]Ovládání
$COOK	[#92]VAŘIT
$CookConfirm1	[#93]Připravit za použití:
$Craft	[#94]Vyrobit:
$CRAFT	[#95]PRACOVAT
$Crafting	[#96]Výroba
$CRATERFACE	[#97]HLUBOKÉ JIZVY
$CREDITS	[#98]TITULKY
$CREW	[#99]AUTOŘI
$Crime	[#100]Zločin
$CRIT	[#101]KRIT
$Crosshair	[#102]Zaměřovač
$CURRENT MODS:	[#103]SOUČASNÉ MODIFIKACE:
$CYCLE DAMAGE	[#104]ZMĚNIT POŠKOZENÍ
$Cycle Parts	[#105]ZMĚNIT ČÁST
$Cycle Targets	[#106]ZMĚNIT CÍL
$Damage Resistance	[#107]Odolnost vůči zranění
$DANGER	[#108]NEBEZPEČÍ
$DATA	[#109]DATA
$DeconnectedController	[#110]Připojte ovladač a stiskněte tlačítko A pro pokračování.
$Default	[#111]Výchozí
$DEFAULTS	[#112]Výchozí
$DELETE	[#113]SMAZAT
$Delete	[#114]Smazat
$Delete this save?	[#115]Smazat tuto uloženou pozici?
$Desktop	[#116]Na plochu
$DESKTOP	[#117]NA PLOCHU
$Detach	[#118]ODPOJIT
$DETAILS	[#119]DETAILY
$Dialogue Camera	[#120]Dialogová kamera
$Dialogue Subtitles	[#121]Dialogové titulky
$DialogueNegative	[#122]Negativní
$DialogueNeutral	[#123]Neutrální
$DialoguePositive	[#124]Pozitivní
$DialogueQuestion	[#125]Otázka
$Difficulty	[#126]Obtížnost
$DIRT
128	[#127]$Disabled	Deaktivováno
$DISMISS	[#129]PROPUSTIT
$DISPLAY	[#130]ZOBRAZENÍ
$Display	[#131]Zobrazení
$dmg	[#132]Poškození
$DONE	[#133]HOTOVO
$dr	[#134]Odoln. v. ZRA
$DROP	[#135]ZAHODIT
$Drop:	[#136]Zahodit:
$Easy	[#137]Jednoduchá
$Edit	[#138]Upravit
$Effects	[#139]Efekty
$ENDURANCE	[#140]ODOLNOST
$ENLARGE	[#141]ZVĚTŠIT
$ENTER	[#142]NASTOUPIT
$Enter name.	[#143]Zvolte jméno.
$EQUIP	[#144]VYBAVIT
$Execute	[#145]SPUSTIT:
$Execute Critical	[#146]PROVÉST KRITICKÝ ÚTOK
$Exit	[#147]Odejít
$EXIT	[#148]ODEJÍT
$EXIT AND CANCEL	[#149]ODEJÍT A ZRUŠIT
$EXTRAS	[#150]EXTRA
$EYE COLOR	[#151]BARVA OČÍ
$FACE	[#152]OBLIČEJ
$FACEPAINT	[#153]BARVA NA OBLIČEJI
$FACIAL HAIR	[#154]VOUSY
$FAST	[#155]RYCHLÁ
$FastTravel	[#156]Rychlé cestování
$FastTravelUndiscovered	[#157]Zatím jsi tuto lokaci neobjevil. Chceš umístit značku?
$FAV	[#158]OBLÍBENÉ
$FAVORITE	[#159]OBLÍBENÉ
$Favorites	[#160]Oblíbené
$FOOD	[#161]JÍDLO
$Footsteps	[#162]Kroky
$Forward	[#163]Dopředu
$FRECKLES	[#164]PIHY
$GAMEPLAY	[#165]HRA
$Gameplay	[#166]Hra
$General	[#167]Obecné
$General Subtitles	[#168]Obecné titulky
$Go	[#169]Jdi
$Grass Fade	[#170]Mizení trávy
$Grid View	[#171]PŘEHLED PERKŮ
$HAIR
173	[#172]$HAIR COLOR	BARVA VLASŮ
$HAPPINESS	[#174]SPOKOJENOST
$HAPPY	[#175]SPOKOJENOST
$Hard	[#176]Obtížná
$health	[#177]Zdraví
$HELP	[#178]NÁPOVĚDA
$HIDE EFFECTS	[#179]SKRÝT EFEKTY
$HideCaravans	[#180]SKRÝT ZÁSOBOVACÍ CESTY
$HideQuestSummary	[#181]SKRÝT SOUHRN
$Hold Breath	[#182]Zadržet dech
$HOLD UP	[#183]Počkej
$HolotapePlay	[#184]PŘEHRÁT
$HolotapeStop	[#185]ZASTAVIT
$HOUR	[#186]HODINA
$hour.	[#187]hodinu.
$HOURS	[#188]HODIN
$hours.	[#189]hodin(y).
$HP	[#190]BZ
$HUD	[#191]HUD
$HUD Opacity	[#192]Průhlednost HUD
$HUDColorB	[#193]Barva HUD - mod.
$HUDColorG	[#194]Barva HUD - zel.
$HUDColorR	[#195]Barva HUD - čer.
$IN/OUT	[#196]Vstup / Výstup
$INGREDIENTS	[#197]INGREDIENCE
$INSPECT	[#198]PROZKOUMAT
$INTELLIGENCE	[#199]INTELIGENCE
$INV	[#200]INV
$INVENTORY	[#201]INVENTÁŘ
$InventoryCategoryAid	[#202]POMOC
$InventoryCategoryAidMine	[#203]MOJE POMOC
$InventoryCategoryAmmo	[#204]MUNICE
$InventoryCategoryAmmoMine	[#205]MOJE MUNICE
$InventoryCategoryApparel	[#206]VÝSTROJ
$InventoryCategoryApparelMine	[#207]MOJE VÝSTROJ
$InventoryCategoryJunk	[#208]VETEŠ
$InventoryCategoryJunkMine	[#209]MOJE VETEŠ
$InventoryCategoryMisc	[#210]RŮZNÉ
$InventoryCategoryMiscMine	[#211]MOJE RŮZNÉ
$InventoryCategoryMods	[#212]MODIFIKACE
$InventoryCategoryModsMine	[#213]MOJE MODIFIKACE
$InventoryCategoryWeapons	[#214]ZBRANĚ
$InventoryCategoryWeaponsMine	[#215]MOJE ZBRANĚ
$INVENTORYMine	[#216]MŮJ INVENTÁŘ
$Invert Y	[#217]Převrátit osu Y
$INVEST	[#218]INVESTOVAT
$Item Fade	[#219]Mizení předmětů
$ITEM VIEW	[#220]ZOBRAZENÍ PŘEDMĚTŮ
$ItemInfo_AR	[#221]ODZ
$ItemInfo_CND	[#222]KON
$ItemInfo_DMG	[#223]POŠ
$ItemInfo_Stolen	[#224]UKRADENO
$ItemInfo_VAL	[#225]HOD
$ItemInfo_WT	[#226]HM
$ITEMS:	[#227]PŘEDMĚTY:
$Jump	[#228]Skákání
$JUMP	[#229]SKOK
$JUNK JET	[#230]VETEŠKVÉR
$LAND	[#231]PŘISTÁT
$LARGE	[#232]VELKÝ
$LeaveMinigame	[#233]Quit game?
$LEVEL	[#234]ÚROVEŇ
$Level #	[#235]Úroveň #
$LEVEL UP	[#236]NOVÁ ÚROVEŇ
$LEVELUP	[#237]NOVÁ ÚROVEŇ
$Light Fade	[#238]Mizení světel
$List View	[#239]SEZNAM
$LOAD	[#240]NAČÍST
$Load this game? All unsaved progress will be lost.	[#241]Načíst tuto hru? Přijdeš o veškerý neuložený postup.
$Local Map	[#242]MÍSTNÍ MAPA
$LocationCleared	[#243][VYČIŠTĚNO]
$Lock	[#244]Zámek
$LockedContainer	[#245][ZAMČENO]
$Lockpicks Left	[#246]Zbývající vlásenky
